"Record Id","Lead Owner.id","Lead Owner",Company,"First Name","Last Name",Title,Email,Phone,Fax,Mobile,Website,"Lead Source","Lead Status",Industry,"No. of Employees","Annual Revenue",Rating,"Created By.id","Created By","Modified By.id","Modified By","Created Time","Modified Time","Lead Name",Street,City,State,"Zip Code",Country,Description,"Skype ID","Email Opt Out",Salutation,"Secondary Email",Currency,"Exchange Rate","Last Activity Time",Twitter,Tag,"Converted Date Time","Lead Conversion Time","Unsubscribed Mode","Unsubscribed Time","Converted Account.id","Converted Account","Converted Contact.id","Converted Contact","Converted Deal.id","Converted Deal","Change Log Time","Is Converted",Locked,"Last Enriched Time","Enrich Status","Data Processing Basis Details.id","Data Processing Basis","Data Source"
zcrm_6045419000000486094,zcrm_6045419000000489059,Débora,,,"Chapel School - Escola Maria Imaculada",,websialive+85176+leadkdyMqUbdhDc9BajWbgdXZZ@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Chapel School - Escola Maria Imaculada",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486095,zcrm_6045419000000489059,Débora,,,"St. Nicholas School Und. Pinheiros",,websialive+85176+leadjRPxt8LKuFhE9bD1oycfs3@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","St. Nicholas School Und. Pinheiros",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486096,zcrm_6045419000000489059,Débora,,,"Colégio Iavne",,websialive+85176+leadq1yhZ5XdLBCfWv8ST32CGo@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Colégio Iavne",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486097,zcrm_6045419000000489059,Débora,,,"St. Paul's School - Escola Britanica de São Paulo",,websialive+85176+leadcNXsbLdA9fAa3XA7gctLuf@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","St. Paul's School - Escola Britanica de São Paulo",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486098,zcrm_6045419000000489059,Débora,,,"Escola Suíço-Brasileira de São Paulo",,websialive+85176+leadwEG8b1xTxesQ7uHpceVFPn@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Escola Suíço-Brasileira de São Paulo",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486099,zcrm_6045419000000489059,Débora,,,"Colégio Sidarta",,websialive+85176+leadtCHGa9RyiNxQswJrET1t7p@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Colégio Sidarta",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486100,zcrm_6045419000000489059,Débora,,,"Colégio Graphein",,websialive+85176+leadwAfg61tFd4sHkP9mfM3mAe@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Colégio Graphein",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486101,zcrm_6045419000000489059,Débora,,,"Colégio Vértice - Und II",,websialive+85176+leadq5Yk88yuTwr1Cz7kRARCQF@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Colégio Vértice - Und II",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486102,zcrm_6045419000000489059,Débora,,,"Colégio Lectus",,websialive+85176+leadcCuiQqaD3TMZHFuX6YDPsj@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Colégio Lectus",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486103,zcrm_6045419000000489059,Débora,,,"CRP-SP Conselho Regional de Psicologia SP",,websialive+85176+leadx2p9jNVipaDGaA4MNhuChJ@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRP-SP Conselho Regional de Psicologia SP",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486104,zcrm_6045419000000489059,Débora,,,"CREFONO 1 Conselho Regional de Fonoaudiologia SP",,websialive+85176+leadgEdkuESyi4aBBqiHnvYwZ1@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CREFONO 1 Conselho Regional de Fonoaudiologia SP",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486105,zcrm_6045419000000489059,Débora,,,"CREFONO 6 Conselho Regional de Fonoaudiologia MG/ES",,websialive+85176+leadvZMuZrMBnNP1obhQBBYPWh@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CREFONO 6 Conselho Regional de Fonoaudiologia MG/ES",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486106,zcrm_6045419000000489059,Débora,,,"CRECI-RJ Conselho Regional de Corretores de Imóveis RJ (UniCreci)",,websialive+85176+leadg7cUPWyGTKSj8h6HZV6ZxW@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRECI-RJ Conselho Regional de Corretores de Imóveis RJ (UniCreci)",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486107,zcrm_6045419000000489059,Débora,,,"CRF-SP Conselho Regional de Farmácia SP",,websialive+85176+lead1wX5FBAvsdSLJPvhn2qsBZ@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRF-SP Conselho Regional de Farmácia SP",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486108,zcrm_6045419000000489059,Débora,,,"CRF-MG Conselho Regional de Farmácia MG",,websialive+85176+leadbFhe6dT3dLaGU7bNtYbUUQ@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRF-MG Conselho Regional de Farmácia MG",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486109,zcrm_6045419000000489059,Débora,,,"CRMV-RJ Conselho Regional de Medicina Veterinária do Rio de Janeiro",,websialive+85176+leadr1kqWzPdX13f2AYVe5cHWr@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRMV-RJ Conselho Regional de Medicina Veterinária do Rio de Janeiro",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486110,zcrm_6045419000000489059,Débora,,,"CREASP Conselho Regional de Engenharia e Agronomia de SP",,websialive+85176+leadhHY1143jPkX1VSFQhgySVs@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CREASP Conselho Regional de Engenharia e Agronomia de SP",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486111,zcrm_6045419000000489059,Débora,,,"OAB Ordem dos Advogados do Brasil Federal",,websialive+85176+lead1uXBb2k4hF6AsZxDnnex9e@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","OAB Ordem dos Advogados do Brasil Federal",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486112,zcrm_6045419000000489059,Débora,,,"CFMV Conselho Federal de Medicina Veterinária",,websialive+85176+leade2yPGR5V7sStzWLpDhskZU@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CFMV Conselho Federal de Medicina Veterinária",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486113,zcrm_6045419000000489059,Débora,,,"COFEN Conselho Federal de Enfermagem",,websialive+85176+leadxznMovRKGahZq4PaKZZMpo@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","COFEN Conselho Federal de Enfermagem",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486114,zcrm_6045419000000489059,Débora,,,"CFM Conselho Federal de Medicina",,websialive+85176+leadcnpafCHBshWrpArbvmi5wQ@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CFM Conselho Federal de Medicina",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486115,zcrm_6045419000000489059,Débora,,,"CFA Conselho Federal de Administração",,websialive+85176+lead2pidnWvF1RLsKjWqmQojBg@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CFA Conselho Federal de Administração",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486116,zcrm_6045419000000489059,Débora,,,"CFC Conselho Federal de Contabilidade",,websialive+85176+lead8FzcCK6PNFvptfS4dNXjo4@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CFC Conselho Federal de Contabilidade",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486117,zcrm_6045419000000489059,Débora,,,"CAU-BR Conselho de Arquitetura e Urbanismo do Brasil",,websialive+85176+leadwfVGLNEEuteMpukX22VtdZ@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CAU-BR Conselho de Arquitetura e Urbanismo do Brasil",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486118,zcrm_6045419000000489059,Débora,,,"CRMV-GO Conselho Regional de Medicina Veterinária de Goiás",,websialive+85176+leadc6zKLApDw6WcQqcBAEGUET@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRMV-GO Conselho Regional de Medicina Veterinária de Goiás",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486119,zcrm_6045419000000489059,Débora,,,"CRMV-ES Conselho Regional de Medicina Veterinária de Espírito Santo",,websialive+85176+leadsXzG3dkVBHcJYA6FjdEX3U@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRMV-ES Conselho Regional de Medicina Veterinária de Espírito Santo",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486120,zcrm_6045419000000489059,Débora,,,"CRMV-SP Conselho Regional de Medicina Veterinária de São Paulo",,websialive+85176+leadesrQXK89F9ECSmiZt8CH9R@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRMV-SP Conselho Regional de Medicina Veterinária de São Paulo",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486121,zcrm_6045419000000489059,Débora,,,"CRMV-MT Conselho Regional de Medicina Veterinária de Mato Grosso",,websialive+85176+lead3LRf49hCpqF9zjUo4cqXra@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CRMV-MT Conselho Regional de Medicina Veterinária de Mato Grosso",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486122,zcrm_6045419000000489059,Débora,,,"COFFITO Conselho Federal de Fisioterapia e Terapia Ocupacional",,websialive+85176+lead29WTy8PD4YHD12kxgksAdn@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","COFFITO Conselho Federal de Fisioterapia e Terapia Ocupacional",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486123,zcrm_6045419000000489059,Débora,,,"CONFERE Conselho Federal dos Representantes Comerciais",,websialive+85176+lead2ovzoDJ6Jh4rvaHyMGCXNe@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CONFERE Conselho Federal dos Representantes Comerciais",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486124,zcrm_6045419000000489059,Débora,,,"COFECI Conselho Federal de Corretores de Imóveis",,websialive+85176+lead1aahu5NGFmBVaYYFjzP4Ps@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","COFECI Conselho Federal de Corretores de Imóveis",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486125,zcrm_6045419000000489059,Débora,,,"Graded School - Escola Graduada",,websialive+85176+leaduQTJb7XKP1kbm9wmDg1Y3i@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Graded School - Escola Graduada",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486126,zcrm_6045419000000489059,Débora,,,"CONFEA Conselho Federal de Engenharia e Agronomia",,websialive+85176+lead54oxy71PPxovWHwWn7gLSr@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CONFEA Conselho Federal de Engenharia e Agronomia",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486127,zcrm_6045419000000489059,Débora,,,"CFP Conselho Federal de Psicologia",,websialive+85176+leadd2yaKcVb8VkckpqVRHWB7V@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CFP Conselho Federal de Psicologia",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486128,zcrm_6045419000000489059,Débora,,,"COFECON Conselho Federal de Economia",,websialive+85176+leads1WKHMP8mo3VmWkf1tBKaX@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","COFECON Conselho Federal de Economia",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486129,zcrm_6045419000000489059,Débora,,,"CFBIO Conselho Federal de Biologia",,websialive+85176+leadw9uFRFcN2eh1UwmShSuoPX@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","CFBIO Conselho Federal de Biologia",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486130,zcrm_6045419000000489059,Débora,,,Spedini,,websialive+85176+leadf4zNikpgEdayQz8WLRqupD@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35",Spedini,,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486131,zcrm_6045419000000489059,Débora,,,"Rei do Mate",,websialive+85176+leadof12H45cmEtAA6Utdj2LZp@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Rei do Mate",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486132,zcrm_6045419000000489059,Débora,,,Bauducco,,websialive+85176+leadxk3zBvvainEVyMEDcvQawt@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35",Bauducco,,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486133,zcrm_6045419000000489059,Débora,,,"Lox Mex Cocina Mexicana",,websialive+85176+lead7hu216u6NmMqjeDx2SFEMT@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","Lox Mex Cocina Mexicana",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
zcrm_6045419000000486134,zcrm_6045419000000489059,Débora,,,"TWICE Ensino Bilíngue",,websialive+85176+leadiLyhiHjRBbjrWsU1nJYnW1@pipedrivemail.com,,,,,"Manually created",,,,,,zcrm_6045419000000489059,Débora,zcrm_6045419000000442001,Rodrigo,"2023-12-07 16:13:35","2023-12-07 16:13:35","TWICE Ensino Bilíngue",,,,,,,,false,,,BRL,1.000000000,,,,,,,,,,,,,,,false,false,,,,,Migration
